frame,timestamp_s,timestamp_unix,player_id,X,Y,demi_terrain,on_terrain
0,0.000,1780168743,G1,278,229,gauche,1
0,0.000,1780168743,G2,140,238,gauche,1
0,0.000,1780168743,G3,104,108,gauche,1
0,0.000,1780168743,G4,330,144,gauche,1
0,0.000,1780168743,G5,-35,355,gauche,0
0,0.000,1780168743,G6,89,-30,gauche,0
0,0.000,1780168743,G7,165,-23,gauche,0
0,0.000,1780168743,G8,146,-27,gauche,0
0,0.000,1780168743,G9,118,-1,gauche,0
0,0.000,1780168743,G10,297,6,gauche,1
0,0.000,1780168743,G11,191,-45,gauche,0
0,0.000,1780168743,G12,179,3,gauche,1
0,0.000,1780168743,G13,40,-56,gauche,0
0,0.000,1780168743,D1,41,567,droite,1
0,0.000,1780168743,D2,134,512,droite,1
0,0.000,1780168743,D3,268,618,droite,1
1,0.033,1780168743,G1,278,229,gauche,1
1,0.033,1780168743,G2,140,238,gauche,1
1,0.033,1780168743,G3,104,108,gauche,1
1,0.033,1780168743,G4,330,144,gauche,1
1,0.033,1780168743,G5,-35,355,gauche,0
1,0.033,1780168743,G6,89,-30,gauche,0
1,0.033,1780168743,G7,165,-23,gauche,0
1,0.033,1780168743,G8,146,-27,gauche,0
1,0.033,1780168743,G9,118,-1,gauche,0
1,0.033,1780168743,G10,297,6,gauche,1
1,0.033,1780168743,G11,191,-45,gauche,0
1,0.033,1780168743,G13,40,-56,gauche,0
1,0.033,1780168743,G12,179,3,gauche,1
1,0.033,1780168743,D1,41,567,droite,1
1,0.033,1780168743,D2,134,511,droite,1
1,0.033,1780168743,D3,268,618,droite,1
2,0.067,1780168743,G2,140,237,gauche,1
2,0.067,1780168743,G1,279,229,gauche,1
2,0.067,1780168743,G3,104,108,gauche,1
2,0.067,1780168743,G4,331,145,gauche,1
2,0.067,1780168743,G6,89,-30,gauche,0
2,0.067,1780168743,G9,118,-1,gauche,0
2,0.067,1780168743,G7,165,-23,gauche,0
2,0.067,1780168743,G8,146,-27,gauche,0
2,0.067,1780168743,G5,-35,355,gauche,0
2,0.067,1780168743,G10,298,6,gauche,1
2,0.067,1780168743,G12,178,4,gauche,1
2,0.067,1780168743,G13,40,-55,gauche,0
