frame,timestamp_s,timestamp_unix,stable_id,raw_player_id,X,Y,vx,vy,cam,source_cams,source_ids,merged_count,track_age,track_hits,track_misses,confidence,status,on_terrain
8,0.267,1782384263,T005,4,147.29,148.66,0.22,0.75,gauche,,,1,15,8,0,0.621,matched,1
9,0.300,1782384263,T005,4,147.29,148.66,0.18,-0.1,gauche,,,1,16,9,0,0.758,matched,1
10,0.333,1782384263,T005,4,147.29,148.66,0.12,-0.38,gauche,,,1,17,10,0,0.766,matched,1
11,0.367,1782384263,T005,4,147.29,148.66,0.07,-0.58,gauche,,,1,18,11,0,0.767,matched,1
12,0.400,1782384263,T005,4,147.48,147.88,0.04,-0.69,gauche,,,1,19,12,0,0.767,matched,1
13,0.433,1782384263,T005,4,147.62,147.16,0.02,-0.58,gauche,,,1,20,13,0,0.769,matched,1
14,0.467,1782384263,T005,4,147.62,147.16,0.0,-0.4,gauche,,,1,21,14,0,0.768,matched,1
15,0.500,1782384263,T005,4,147.62,147.16,-0.0,-0.24,gauche,,,1,22,15,0,0.768,matched,1
15,0.500,1782384263,T006,5,20.7,367.11,-0.94,8.61,droite,,,1,20,11,0,0.64,matched,1
16,0.533,1782384263,T005,4,147.62,147.16,-0.0,-0.13,gauche,,,1,23,16,0,0.769,matched,1
16,0.533,1782384263,T006,5,20.01,373.07,-0.78,6.19,droite,,,1,21,12,0,0.747,matched,1
17,0.567,1782384263,T005,4,147.62,147.16,-0.17,-0.05,gauche,,,1,24,17,0,0.767,matched,1
17,0.567,1782384263,T006,5,19.43,377.96,-0.54,4.19,droite,,,1,22,13,0,0.75,matched,1
18,0.600,1782384263,T005,4,147.62,147.16,-0.2,-0.18,gauche,,,1,25,18,0,0.768,matched,1
18,0.600,1782384263,T006,5,18.85,381.91,-0.49,2.81,droite,,,1,23,14,0,0.756,matched,1
19,0.633,1782384263,T005,4,147.46,146.42,-0.16,-0.19,gauche,,,1,26,19,0,0.77,matched,1
19,0.633,1782384263,T006,5,18.36,384.87,-0.36,1.64,droite,,,1,24,15,0,0.757,matched,1
20,0.667,1782384263,T005,4,147.46,146.42,-0.11,-0.15,gauche,,,1,27,20,0,0.769,matched,1
20,0.667,1782384263,T006,5,17.98,386.98,-0.23,0.81,droite,,,1,25,16,0,0.76,matched,1
21,0.700,1782384263,T005,4,147.19,145.68,-0.24,-0.27,gauche,,,1,28,21,0,0.767,matched,1
21,0.700,1782384263,T006,5,17.69,388.44,-0.13,0.31,droite,,,1,26,17,0,0.764,matched,1
22,0.733,1782384263,T005,4,146.92,144.91,-0.23,-0.43,gauche,,,1,29,22,0,0.767,matched,1
22,0.733,1782384263,T006,5,17.49,389.57,-0.06,0.22,droite,,,1,27,18,0,0.769,matched,1
23,0.767,1782384263,T005,4,146.54,144.21,-0.35,-0.39,gauche,,,1,30,23,0,0.768,matched,1
23,0.767,1782384263,T006,5,17.35,390.43,-0.02,0.13,droite,,,1,28,19,0,0.769,matched,1
24,0.800,1782384263,T005,4,146.17,143.51,-0.31,-0.46,gauche,,,1,31,24,0,0.768,matched,1
24,0.800,1782384263,T006,5,17.35,390.43,0.0,-0.1,droite,,,1,29,20,0,0.767,matched,1
25,0.833,1782384263,T005,4,146.17,143.51,-0.23,-0.38,gauche,,,1,32,25,0,0.769,matched,1
25,0.833,1782384263,T006,5,17.35,390.43,0.01,0.0,droite,,,1,30,21,0,0.769,matched,1
26,0.867,1782384263,T005,4,145.58,142.86,-0.48,-0.26,gauche,,,1,33,26,0,0.766,matched,1
26,0.867,1782384263,T006,5,17.35,390.43,0.18,0.04,droite,,,1,31,22,0,0.767,matched,1
27,0.900,1782384263,T003,2,259.84,196.17,0.02,-1.0,gauche,,,1,34,27,0,0.644,matched,1
27,0.900,1782384263,T005,4,144.84,142.36,-0.64,-0.16,gauche,,,1,34,27,0,0.767,matched,1
27,0.900,1782384263,T006,5,17.35,390.43,0.2,0.05,droite,,,1,32,23,0,0.769,matched,1
28,0.933,1782384263,T003,2,259.71,194.62,-0.1,-1.58,gauche,,,1,35,28,0,0.76,matched,1
28,0.933,1782384263,T005,4,144.01,142.0,-0.73,-0.08,gauche,,,1,35,28,0,0.768,matched,1
28,0.933,1782384263,T006,5,17.35,390.43,0.34,0.04,droite,,,1,33,24,0,0.768,matched,1
29,0.967,1782384263,T003,2,259.7,192.77,0.05,-1.79,gauche,,,1,36,29,0,0.764,matched,1
29,0.967,1782384263,T005,4,143.12,141.74,-0.77,-0.03,gauche,,,1,36,29,0,0.768,matched,1
29,0.967,1782384263,T006,5,17.74,391.05,0.31,0.03,droite,,,1,34,25,0,0.77,matched,1
30,1.000,1782384264,T003,2,259.6,190.92,-0.08,-1.63,gauche,,,1,37,30,0,0.768,matched,1
30,1.000,1782384264,T005,4,142.32,141.55,-0.61,-0.01,gauche,,,1,37,30,0,0.769,matched,1
30,1.000,1782384264,T006,5,17.74,391.05,0.23,0.02,droite,,,1,35,26,0,0.769,matched,1
31,1.033,1782384264,T003,2,259.48,189.34,-0.11,-1.2,gauche,,,1,38,31,0,0.766,matched,1
31,1.033,1782384264,T005,4,142.32,141.55,-0.41,0.0,gauche,,,1,38,31,0,0.768,matched,1
31,1.033,1782384264,T006,5,17.74,391.05,0.15,0.01,droite,,,1,36,27,0,0.769,matched,1
32,1.067,1782384264,T003,2,259.23,187.97,-0.26,-0.93,gauche,,,1,39,32,0,0.767,matched,1
32,1.067,1782384264,T005,4,142.32,141.55,-0.24,0.01,gauche,,,1,39,32,0,0.768,matched,1
32,1.067,1782384264,T006,5,17.74,391.05,0.08,0.0,droite,,,1,37,28,0,0.769,matched,1
33,1.100,1782384264,T003,2,258.81,186.47,-0.44,-1.13,gauche,,,1,40,33,0,0.765,matched,1
33,1.100,1782384264,T005,4,141.57,141.41,-0.29,0.01,gauche,,,1,40,33,0,0.769,matched,1
33,1.100,1782384264,T006,5,17.74,391.05,0.04,0.17,droite,,,1,38,29,0,0.767,matched,1
