frame,timestamp_s,timestamp_unix,player_id,X,Y,cam,on_terrain
0,0.000,1780168743,1,214,375,gauche,1
0,0.000,1780168743,2,373,367,gauche,1
0,0.000,1780168743,3,177,230,gauche,1
0,0.000,1780168743,4,427,274,gauche,1
0,0.000,1780168743,5,57,496,gauche,0
0,0.000,1780168743,6,169,95,gauche,0
0,0.000,1780168743,7,249,100,gauche,0
0,0.000,1780168743,8,198,120,gauche,0
0,0.000,1780168743,9,228,96,gauche,0
0,0.000,1780168743,10,386,136,gauche,1
0,0.000,1780168743,11,262,125,gauche,0
0,0.000,1780168743,12,276,81,gauche,0
0,0.000,1780168743,13,126,76,gauche,0
0,0.000,1780168743,14,516,517,gauche,0
0,0.000,1780168743,1,112,699,droite,1
0,0.000,1780168743,2,208,638,droite,1
0,0.000,1780168743,3,359,759,droite,1
0,0.000,1780168743,4,63,481,droite,0
0,0.000,1780168743,5,0,590,droite,0
0,0.000,1780168743,6,-1,590,droite,0
0,0.000,1780168743,7,-2,590,droite,0
0,0.000,1780168743,8,-1,590,droite,0
1,0.033,1780168743,1,214,375,gauche,1
1,0.033,1780168743,2,373,367,gauche,1
1,0.033,1780168743,3,177,230,gauche,1
1,0.033,1780168743,4,427,275,gauche,1
1,0.033,1780168743,5,56,496,gauche,0
1,0.033,1780168743,6,169,95,gauche,0
1,0.033,1780168743,7,249,100,gauche,0
1,0.033,1780168743,8,198,120,gauche,0
1,0.033,1780168743,9,228,96,gauche,0
1,0.033,1780168743,10,386,136,gauche,1
1,0.033,1780168743,11,262,125,gauche,0
1,0.033,1780168743,12,276,81,gauche,0
1,0.033,1780168743,13,126,76,gauche,0
1,0.033,1780168743,14,516,517,gauche,0
1,0.033,1780168743,1,112,699,droite,1
1,0.033,1780168743,2,207,638,droite,1
1,0.033,1780168743,3,359,759,droite,1
1,0.033,1780168743,4,63,480,droite,0
1,0.033,1780168743,8,-1,591,droite,0
1,0.033,1780168743,5,0,589,droite,0
1,0.033,1780168743,6,-1,590,droite,0
2,0.067,1780168743,1,214,375,gauche,1
2,0.067,1780168743,2,374,367,gauche,1
2,0.067,1780168743,3,177,230,gauche,1
2,0.067,1780168743,4,426,276,gauche,1
2,0.067,1780168743,8,198,120,gauche,0
2,0.067,1780168743,7,249,100,gauche,0
2,0.067,1780168743,10,387,136,gauche,1
2,0.067,1780168743,6,169,95,gauche,0
2,0.067,1780168743,9,229,96,gauche,0
2,0.067,1780168743,12,275,81,gauche,0
2,0.067,1780168743,11,261,125,gauche,0
2,0.067,1780168743,5,57,497,gauche,0
2,0.067,1780168743,13,126,77,gauche,0
2,0.067,1780168743,15,519,511,gauche,0
2,0.067,1780168743,14,516,517,gauche,0
2,0.067,1780168743,1,112,699,droite,1
2,0.067,1780168743,2,210,638,droite,1
2,0.067,1780168743,3,358,760,droite,1
2,0.067,1780168743,4,63,480,droite,0
2,0.067,1780168743,5,0,590,droite,0
2,0.067,1780168743,6,-1,590,droite,0
2,0.067,1780168743,7,-2,590,droite,0
3,0.100,1780168743,2,375,367,gauche,1
3,0.100,1780168743,1,215,375,gauche,1
3,0.100,1780168743,3,177,230,gauche,1
3,0.100,1780168743,4,427,277,gauche,1
3,0.100,1780168743,8,198,120,gauche,0
3,0.100,1780168743,7,249,99,gauche,0
3,0.100,1780168743,10,387,136,gauche,1
3,0.100,1780168743,6,170,93,gauche,0
3,0.100,1780168743,5,57,497,gauche,0
3,0.100,1780168743,9,228,96,gauche,0
3,0.100,1780168743,12,275,81,gauche,0
3,0.100,1780168743,11,260,126,gauche,1
3,0.100,1780168743,13,125,77,gauche,0
3,0.100,1780168743,15,519,510,gauche,0
3,0.100,1780168743,14,516,517,gauche,0
3,0.100,1780168743,1,113,699,droite,1
3,0.100,1780168743,2,211,638,droite,1
3,0.100,1780168743,3,357,766,droite,1
3,0.100,1780168743,4,63,480,droite,0
3,0.100,1780168743,5,0,590,droite,0
3,0.100,1780168743,6,-1,590,droite,0
3,0.100,1780168743,7,-2,590,droite,0
4,0.133,1780168743,2,376,367,gauche,1
4,0.133,1780168743,1,216,374,gauche,1
4,0.133,1780168743,3,178,230,gauche,1
4,0.133,1780168743,4,427,273,gauche,1
4,0.133,1780168743,8,198,120,gauche,0
4,0.133,1780168743,5,57,497,gauche,0
4,0.133,1780168743,7,249,99,gauche,0
4,0.133,1780168743,10,388,136,gauche,1
4,0.133,1780168743,9,229,96,gauche,0
4,0.133,1780168743,6,170,93,gauche,0
4,0.133,1780168743,12,274,81,gauche,0
4,0.133,1780168743,11,259,126,gauche,1
4,0.133,1780168743,13,124,77,gauche,0
4,0.133,1780168743,15,519,510,gauche,0
4,0.133,1780168743,2,212,638,droite,1
4,0.133,1780168743,1,113,699,droite,1
4,0.133,1780168743,9,361,771,droite,1
4,0.133,1780168743,4,64,480,droite,0
4,0.133,1780168743,3,357,771,droite,1
4,0.133,1780168743,5,0,590,droite,0
4,0.133,1780168743,10,457,777,droite,1
4,0.133,1780168743,6,-1,590,droite,0
5,0.167,1780168743,1,217,374,gauche,1
5,0.167,1780168743,2,377,365,gauche,1
5,0.167,1780168743,5,56,497,gauche,0
5,0.167,1780168743,3,178,230,gauche,1
5,0.167,1780168743,4,428,270,gauche,1
5,0.167,1780168743,8,198,121,gauche,0
5,0.167,1780168743,7,249,100,gauche,0
5,0.167,1780168743,9,229,96,gauche,0
5,0.167,1780168743,6,169,94,gauche,0
5,0.167,1780168743,10,389,136,gauche,1
5,0.167,1780168743,12,274,81,gauche,0
5,0.167,1780168743,11,258,126,gauche,1
5,0.167,1780168743,16,179,110,gauche,0
5,0.167,1780168743,13,123,78,gauche,0
5,0.167,1780168743,15,519,511,gauche,0
5,0.167,1780168743,2,212,637,droite,1
5,0.167,1780168743,1,114,699,droite,1
5,0.167,1780168743,3,356,777,droite,1
5,0.167,1780168743,10,456,772,droite,1
