frame,timestamp_s,timestamp_unix,stable_id,raw_player_id,X,Y,vx,vy,cam,source_cams,source_ids,merged_count,track_age,track_hits,track_misses,confidence,status,on_terrain
2,0.067,1780168743,T001,1,214.0,375.0,0.0,0.0,gauche,gauche,1,1,3,3,0,0.54,matched,1
2,0.067,1780168743,T002,2,373.0,367.0,0.44,0.0,gauche,gauche,2,1,3,3,0,0.537,matched,1
2,0.067,1780168743,T003,3,177.0,230.0,0.0,0.0,gauche,gauche,3,1,3,3,0,0.54,matched,1
2,0.067,1780168743,T004,4,427.0,274.0,-0.44,0.62,gauche,gauche,4,1,3,3,0,0.537,matched,1
2,0.067,1780168743,T005,10,386.0,136.0,0.44,0.0,gauche,gauche,10,1,3,3,0,0.537,matched,1
2,0.067,1780168743,T006,1,112.0,699.0,0.0,0.0,droite,droite,1,1,3,3,0,0.54,matched,1
2,0.067,1780168743,T007,2,208.0,638.0,1.15,0.0,droite,droite,2,1,3,3,0,0.532,matched,1
2,0.067,1780168743,T008,3,359.0,759.0,-0.44,0.44,droite,droite,3,1,3,3,0,0.536,matched,1
3,0.100,1780168743,T001,1,214.0,375.0,0.33,0.0,gauche,gauche,1,1,4,4,0,0.648,matched,1
3,0.100,1780168743,T002,2,373.0,367.0,0.66,0.0,gauche,gauche,2,1,4,4,0,0.648,matched,1
3,0.100,1780168743,T003,3,177.0,230.0,0.0,0.0,gauche,gauche,3,1,4,4,0,0.65,matched,1
3,0.100,1780168743,T004,4,427.0,274.0,0.01,0.74,gauche,gauche,4,1,4,4,0,0.647,matched,1
3,0.100,1780168743,T005,10,386.0,136.0,0.32,0.0,gauche,gauche,10,1,4,4,0,0.649,matched,1
3,0.100,1780168743,T006,1,112.0,699.0,0.33,0.0,droite,droite,1,1,4,4,0,0.648,matched,1
3,0.100,1780168743,T007,2,208.0,638.0,1.22,0.0,droite,droite,2,1,4,4,0,0.649,matched,1
3,0.100,1780168743,T008,3,358.57,760.32,-0.66,2.32,droite,droite,3,1,4,4,0,0.635,matched,1
4,0.133,1780168743,T001,1,214.0,375.0,0.53,-0.25,gauche,gauche,1,1,5,5,0,0.667,matched,1
4,0.133,1780168743,T002,2,373.0,367.0,0.73,0.0,gauche,gauche,2,1,5,5,0,0.669,matched,1
4,0.133,1780168743,T003,3,177.0,230.0,0.25,0.0,gauche,gauche,3,1,5,5,0,0.668,matched,1
4,0.133,1780168743,T004,4,427.0,274.0,0.09,-0.47,gauche,gauche,4,1,5,5,0,0.658,matched,1
4,0.133,1780168743,T005,10,386.0,136.0,0.44,0.0,gauche,gauche,10,1,5,5,0,0.668,matched,1
4,0.133,1780168743,T006,1,112.0,699.0,0.28,0.0,droite,droite,1,1,5,5,0,0.67,matched,1
4,0.133,1780168743,T007,2,208.97,638.0,1.08,0.0,droite,droite,2,1,5,5,0,0.67,matched,1
4,0.133,1780168743,T008,3,358.16,762.56,-0.48,3.13,droite,droite,3,1,5,5,0,0.659,matched,1
5,0.167,1780168743,T001,1,214.0,375.0,0.63,-0.24,gauche,gauche,1,1,6,6,0,0.688,matched,1
5,0.167,1780168743,T002,2,373.92,366.7,0.75,-0.41,gauche,gauche,2,1,6,6,0,0.685,matched,1
5,0.167,1780168743,T003,3,177.0,230.0,0.24,0.0,gauche,gauche,3,1,6,6,0,0.69,matched,1
5,0.167,1780168743,T004,4,427.0,274.0,0.28,-1.24,gauche,gauche,4,1,6,6,0,0.68,matched,1
5,0.167,1780168743,T005,10,386.0,136.0,0.55,0.0,gauche,gauche,10,1,6,6,0,0.688,matched,1
5,0.167,1780168743,T006,1,112.0,699.0,0.39,0.0,droite,droite,1,1,6,6,0,0.688,matched,1
5,0.167,1780168743,T007,2,209.79,637.85,0.75,-0.2,droite,droite,2,1,6,6,0,0.686,matched,1
5,0.167,1780168743,T008,3,357.67,765.65,-0.51,3.67,droite,droite,3,1,6,6,0,0.679,matched,1
5,0.167,1780168743,T009,11,260.0,126.0,-0.62,0.0,gauche,gauche,11,1,3,3,0,0.538,matched,1
6,0.200,1780168743,T001,1,215.04,374.74,0.87,-0.18,gauche,gauche,1,1,7,7,0,0.706,matched,1
6,0.200,1780168743,T002,2,375.0,366.18,0.93,-0.61,gauche,gauche,2,1,7,7,0,0.705,matched,1
6,0.200,1780168743,T003,3,177.0,230.0,-0.01,-0.18,gauche,gauche,3,1,7,7,0,0.706,matched,1
6,0.200,1780168743,T004,4,427.23,272.78,0.27,-1.52,gauche,gauche,4,1,7,7,0,0.704,matched,1
6,0.200,1780168743,T005,10,386.75,136.0,0.45,0.0,gauche,gauche,10,1,7,7,0,0.709,matched,1
6,0.200,1780168743,T006,1,112.0,699.0,0.33,0.18,droite,droite,1,1,7,7,0,0.707,matched,1
6,0.200,1780168743,T007,2,210.58,637.66,0.64,-0.21,droite,droite,2,1,7,7,0,0.709,matched,1
6,0.200,1780168743,T008,3,357.81,769.58,0.34,4.2,droite,droite,3,1,7,7,0,0.694,matched,1
6,0.200,1780168743,T009,11,260.0,126.0,-0.41,0.0,gauche,gauche,11,1,4,4,0,0.649,matched,1
6,0.200,1780168743,T010,10,456.71,774.05,0.27,-2.2,droite,droite,10,1,3,3,0,0.534,matched,1
7,0.233,1780168743,T001,1,216.01,374.54,0.75,-0.11,gauche,gauche,1,1,8,8,0,0.729,matched,1
7,0.233,1780168743,T002,2,376.0,365.65,0.77,-0.53,gauche,gauche,2,1,8,8,0,0.729,matched,1
7,0.233,1780168743,T003,3,177.0,230.0,0.09,-0.03,gauche,gauche,3,1,8,8,0,0.728,matched,1
7,0.233,1780168743,T004,4,427.44,271.57,0.2,-1.26,gauche,gauche,4,1,8,8,0,0.728,matched,1
7,0.233,1780168743,T005,10,386.75,136.0,0.31,0.0,gauche,gauche,10,1,8,8,0,0.729,matched,1
7,0.233,1780168743,T006,1,112.0,699.0,0.23,0.2,droite,droite,1,1,8,8,0,0.729,matched,1
7,0.233,1780168743,T007,2,210.58,637.66,0.46,-0.17,droite,droite,2,1,8,8,0,0.728,matched,1
7,0.233,1780168743,T008,3,358.19,773.26,0.55,3.39,droite,droite,3,1,8,8,0,0.723,matched,1
7,0.233,1780168743,T009,11,260.0,126.0,-0.24,0.0,gauche,gauche,11,1,5,5,0,0.669,matched,1
7,0.233,1780168743,T010,10,456.78,772.73,0.24,-1.41,droite,droite,10,1,4,4,0,0.646,matched,1
8,0.267,1780168743,T001,1,216.95,374.38,0.7,-0.06,gauche,gauche,1,1,9,9,0,0.749,matched,1
8,0.267,1780168743,T002,2,377.09,364.92,0.88,-0.73,gauche,gauche,2,1,9,9,0,0.746,matched,1
8,0.267,1780168743,T003,3,177.0,230.0,0.1,-0.14,gauche,gauche,3,1,9,9,0,0.748,matched,1
8,0.267,1780168743,T004,4,427.74,269.87,0.3,-1.73,gauche,gauche,4,1,9,9,0,0.741,matched,1
8,0.267,1780168743,T005,10,387.48,136.14,0.35,0.17,gauche,gauche,10,1,9,9,0,0.747,matched,1
8,0.267,1780168743,T006,1,112.0,699.0,0.14,0.16,droite,droite,1,1,9,9,0,0.749,matched,1
8,0.267,1780168743,T007,2,211.37,637.62,0.45,0.06,droite,droite,2,1,9,9,0,0.747,matched,1
