frame,timestamp_s,anchor_id,distance_cm
0,0.000,1,1676.31
0,0.000,2,2968.16
0,0.000,3,2549.51
0,0.000,4,707.11
1,0.100,1,1698.98
1,0.100,2,2937.91
1,0.100,3,2505.83
1,0.100,4,731.04
2,0.200,1,1721.85
2,0.200,2,2907.76
2,0.200,3,2462.40
2,0.200,4,757.03
3,0.300,1,1744.26
3,0.300,2,2877.49
3,0.300,3,2419.48
3,0.300,4,785.08
4,0.400,1,1765.62
4,0.400,2,2846.85
4,0.400,3,2377.30
4,0.400,4,815.12
5,0.500,1,1785.38
5,0.500,2,2815.60
5,0.500,3,2336.11
5,0.500,4,847.00
6,0.600,1,1803.07
6,0.600,2,2783.50
6,0.600,3,2296.13
6,0.600,4,880.58
7,0.700,1,1818.29
7,0.700,2,2750.35
7,0.700,3,2257.57
7,0.700,4,915.65
8,0.800,1,1830.71
8,0.800,2,2715.96
8,0.800,3,2220.66
8,0.800,4,952.05
9,0.900,1,1840.12
9,0.900,2,2680.22
9,0.900,3,2185.60
9,0.900,4,989.61
10,1.000,1,1846.40
10,1.000,2,2643.04
10,1.000,3,2152.59
10,1.000,4,1028.19
11,1.100,1,1849.50
11,1.100,2,2604.40
11,1.100,3,2121.83
11,1.100,4,1067.67
12,1.200,1,1849.50
12,1.200,2,2564.35
12,1.200,3,2093.51
12,1.200,4,1107.94
13,1.300,1,1846.55
13,1.300,2,2522.99
13,1.300,3,2067.78
13,1.300,4,1148.91
14,1.400,1,1840.91
14,1.400,2,2480.50
14,1.400,3,2044.80
14,1.400,4,1190.50
15,1.500,1,1832.88
15,1.500,2,2437.10
15,1.500,3,2024.67
15,1.500,4,1232.59
16,1.600,1,1822.86
16,1.600,2,2393.06
16,1.600,3,2007.43
16,1.600,4,1275.07
17,1.700,1,1811.26
17,1.700,2,2348.70
17,1.700,3,1993.07
17,1.700,4,1317.80
18,1.800,1,1798.57
18,1.800,2,2304.37
18,1.800,3,1981.53
18,1.800,4,1360.59
19,1.900,1,1785.27
19,1.900,2,2260.41
19,1.900,3,1972.64
19,1.900,4,1403.24
20,2.000,1,1771.84
20,2.000,2,2217.18
20,2.000,3,1966.19
20,2.000,4,1445.49
21,2.100,1,1758.77
21,2.100,2,2175.03
21,2.100,3,1961.86
21,2.100,4,1487.07
22,2.200,1,1746.48
22,2.200,2,2134.28
22,2.200,3,1959.29
22,2.200,4,1527.70
23,2.300,1,1735.40
23,2.300,2,2095.20
23,2.300,3,1958.04
23,2.300,4,1567.07
24,2.400,1,1725.89
24,2.400,2,2058.03
24,2.400,3,1957.67
24,2.400,4,1604.89
25,2.500,1,1718.24
25,2.500,2,2022.95
25,2.500,3,1957.68
25,2.500,4,1640.89
26,2.600,1,1712.70
26,2.600,2,1990.10
26,2.600,3,1957.59
26,2.600,4,1674.81
27,2.700,1,1709.46
27,2.700,2,1959.53
27,2.700,3,1956.92
27,2.700,4,1706.46
28,2.800,1,1708.66
28,2.800,2,1931.28
28,2.800,3,1955.23
28,2.800,4,1735.69
29,2.900,1,1710.38
29,2.900,2,1905.30
29,2.900,3,1952.15
29,2.900,4,1762.42
30,3.000,1,1714.67
30,3.000,2,1881.52
30,3.000,3,1947.33
30,3.000,4,1786.64
31,3.100,1,1721.53
31,3.100,2,1859.82
31,3.100,3,1940.53
31,3.100,4,1808.42
32,3.200,1,1730.92
32,3.200,2,1840.04
32,3.200,3,1931.55
32,3.200,4,1827.89
33,3.300,1,1742.77
33,3.300,2,1822.02
33,3.300,3,1920.29
33,3.300,4,1845.27
34,3.400,1,1757.01
34,3.400,2,1805.53
34,3.400,3,1906.72
34,3.400,4,1860.84
35,3.500,1,1773.49
35,3.500,2,1790.33
35,3.500,3,1890.89
35,3.500,4,1874.95
36,3.600,1,1792.08
36,3.600,2,1776.16
36,3.600,3,1872.90
36,3.600,4,1888.00
37,3.700,1,1812.59
37,3.700,2,1762.74
37,3.700,3,1852.93
37,3.700,4,1900.41
38,3.800,1,1834.81
38,3.800,2,1749.75
38,3.800,3,1831.19
38,3.800,4,1912.64
39,3.900,1,1858.52
39,3.900,2,1736.84
39,3.900,3,1807.96
39,3.900,4,1925.16
40,4.000,1,1883.47
40,4.000,2,1723.66
40,4.000,3,1783.54
40,4.000,4,1938.42
41,4.100,1,1909.39
41,4.100,2,1709.83
41,4.100,3,1758.24
41,4.100,4,1952.86
42,4.200,1,1936.02
42,4.200,2,1694.97
42,4.200,3,1732.42
42,4.200,4,1968.88
43,4.300,1,1963.09
43,4.300,2,1678.68
43,4.300,3,1706.43
43,4.300,4,1986.86
44,4.400,1,1990.35
44,4.400,2,1660.58
44,4.400,3,1680.64
44,4.400,4,2007.11
45,4.500,1,2017.58
45,4.500,2,1640.31
45,4.500,3,1655.43
45,4.500,4,2029.89
46,4.600,1,2044.59
46,4.600,2,1617.53
46,4.600,3,1631.18
46,4.600,4,2055.41
47,4.700,1,2071.24
47,4.700,2,1591.95
47,4.700,3,1608.27
47,4.700,4,2083.81
48,4.800,1,2097.42
48,4.800,2,1563.31
48,4.800,3,1587.08
48,4.800,4,2115.20
49,4.900,1,2123.11
49,4.900,2,1531.45
49,4.900,3,1568.00
49,4.900,4,2149.62
50,5.000,1,2148.30
50,5.000,2,1496.24
50,5.000,3,1551.37
50,5.000,4,2187.05
51,5.100,1,2173.08
51,5.100,2,1457.66
51,5.100,3,1537.55
51,5.100,4,2227.45
52,5.200,1,2197.56
52,5.200,2,1415.74
52,5.200,3,1526.83
52,5.200,4,2270.71
53,5.300,1,2221.89
53,5.300,2,1370.60
53,5.300,3,1519.47
53,5.300,4,2316.68
54,5.400,1,2246.26
54,5.400,2,1322.46
54,5.400,3,1515.66
54,5.400,4,2365.17
55,5.500,1,2270.88
55,5.500,2,1271.57
55,5.500,3,1515.49
55,5.500,4,2415.93
56,5.600,1,2295.95
56,5.600,2,1218.29
56,5.600,3,1518.96
56,5.600,4,2468.68
57,5.700,1,2321.66
57,5.700,2,1163.01
57,5.700,3,1525.95
57,5.700,4,2523.10
58,5.800,1,2348.19
58,5.800,2,1106.20
58,5.800,3,1536.23
58,5.800,4,2578.82
59,5.900,1,2375.66
59,5.900,2,1048.34
59,5.900,3,1549.48
59,5.900,4,2635.46
60,6.000,1,2404.16
60,6.000,2,989.95
60,6.000,3,1565.25
60,6.000,4,2692.58
