frame,timestamp_s,x_cm,y_cm,z_cm
0,0.000,250.00,1450.00,95.00
1,0.100,292.54,1460.03,95.00
2,0.200,334.95,1469.44,95.00
3,0.300,377.08,1477.64,95.00
4,0.400,418.81,1484.05,95.00
5,0.500,460.00,1488.14,95.00
6,0.600,500.53,1489.44,95.00
7,0.700,540.30,1487.56,95.00
8,0.800,579.18,1482.17,95.00
9,0.900,617.08,1473.03,95.00
10,1.000,653.92,1460.00,95.00
11,1.100,689.63,1443.03,95.00
12,1.200,724.13,1422.17,95.00
13,1.300,757.38,1397.56,95.00
14,1.400,789.34,1369.44,95.00
15,1.500,820.00,1338.14,95.00
16,1.600,849.34,1304.05,95.00
17,1.700,877.38,1267.64,95.00
18,1.800,904.13,1229.44,95.00
19,1.900,929.63,1190.03,95.00
20,2.000,953.92,1150.00,95.00
21,2.100,977.08,1109.97,95.00
22,2.200,999.18,1070.56,95.00
23,2.300,1020.30,1032.36,95.00
24,2.400,1040.53,995.95,95.00
25,2.500,1060.00,961.86,95.00
26,2.600,1078.81,930.56,95.00
27,2.700,1097.08,902.44,95.00
28,2.800,1114.95,877.83,95.00
29,2.900,1132.54,856.97,95.00
30,3.000,1150.00,840.00,95.00
31,3.100,1167.46,826.97,95.00
32,3.200,1185.05,817.83,95.00
33,3.300,1202.92,812.44,95.00
34,3.400,1221.19,810.56,95.00
35,3.500,1240.00,811.86,95.00
36,3.600,1259.47,815.95,95.00
37,3.700,1279.70,822.36,95.00
38,3.800,1300.82,830.56,95.00
39,3.900,1322.92,839.97,95.00
40,4.000,1346.08,850.00,95.00
41,4.100,1370.37,860.03,95.00
42,4.200,1395.87,869.44,95.00
43,4.300,1422.62,877.64,95.00
44,4.400,1450.66,884.05,95.00
45,4.500,1480.00,888.14,95.00
46,4.600,1510.66,889.44,95.00
47,4.700,1542.62,887.56,95.00
48,4.800,1575.87,882.17,95.00
49,4.900,1610.37,873.03,95.00
50,5.000,1646.08,860.00,95.00
51,5.100,1682.92,843.03,95.00
52,5.200,1720.82,822.17,95.00
53,5.300,1759.70,797.56,95.00
54,5.400,1799.47,769.44,95.00
55,5.500,1840.00,738.14,95.00
56,5.600,1881.19,704.05,95.00
57,5.700,1922.92,667.64,95.00
58,5.800,1965.05,629.44,95.00
59,5.900,2007.46,590.03,95.00
60,6.000,2050.00,550.00,95.00
